"Mã số sinh viên","Họ","Tên","Giới tính","Ngày sinh","Quốc tịch","Dân tộc","Tôn giáo","Nơi sinh","Địa chỉ cư trú","CCCD","Địa chỉ hiện tại","Số điện thoại","email","Số điện thoại bố","Số điện thoại bố","Tình trạng nhập ngũ","Ngày nhập ngũ","Tên trường","Hình thức học tập","Trình độ học tập","Khóa","Lớp","Ngành","Năm học","GPA","Quản lý bởi","Ghi chú"
"20110001","Tấn Lộ","Giải","Nữ","1997-01-06","Việt Nam","Kinh","Không có","151 Khổng Kim, Lã Sái, Thạch Đinh","294 Mã Ao, Đinh Lý, H’ma Hi","8673608732","207 Trác Nông, Mã Ngô, Thoa Ty","9029640712","gwaadenburgi@freewebs.com","4554464991","8771901643",true,"2016-01-04","UET","Chính quy","Sinh viên","K11","CA2011-2","Công nghệ nông nghiệp","2011","2.2","",""
"20110002","Lã Ông","Giới","Khác","2001-02-08","Việt Nam","Kinh","Không có","51 Nhâm Ưng, Văn Nguyễn, Lăng Bạch","103 Thiều Tống, Linh Ngân, Võ Thành","1564549755","183 Sơn Mâu, Thế Đồng, Cù Điều","3599668715","cdownage1g@weather.com","3593763083","7837259396",true,"2016-03-27","UET","Chính quy","Sinh viên","K11","CA2011-1","Công nghệ kỹ thuật cơ điện tử","2011","2.1","",""
"20140003","Thục Xa","Hiểu","Nam","1997-07-19","Việt Nam","Kinh","Không có","59 Ngô Tăng, Thái Hầu, Nông Liêu","173 Bảo Phùng, Khương Yên, Phương Sái","6137422178","182 Giao Luyện, Đôn Đoàn, Ứng Ấu","1987403087","jgrigori1j@reverbnation.com","6767305748","1051586873",false,"","UET","Chính quy","Sinh viên","K14","QH2014-CLC2","Cơ kỹ thuật","2014","1.8","",""
"20180002","Chế Xung","Hoán","Khác","1996-10-06","Việt Nam","Nùng","Không có","383 Bạc Huỳnh, Chiêm Đầu, Dương Ứng","124 Giáp Ngạc, Thi Hề, Linh Mầu/Màu","6123701134","201 Ngũ Sử, Cát Sùng, Cù Tuấn","5627983001","dtimperley1i@acquirethisname.com","1607561589","2366040384",true,"2021-07-19","UET","Chính quy","Sinh viên","K18","CA2018-2","Công nghệ thông tin định hướng thị trường Nhật Bản","2018","2.3","",""
"20180004","Ngân Yên","Hoạch","Khác","2005-08-03","Việt Nam","Nùng","Không có","392 Đinh Hồng, Thang Thế, Thang Lưu","396 Ngụy Tống, Linh Tòng, Mộc Tri","0245934197","457 Lại Tăng, Thục Tòng, Thôi Cù","5454228228","dcosstick25@mlb.com","4998939950","3895214537",true,"2021-11-03","UET","Chính quy","Sinh viên","K18","CA2018-2","Điện Tử Viễn Thông","2018","2.3","",""
"20060003","Mục Cao","Huyên","Nam","1996-07-11","Nhật","Kinh","Không có","300 Đầu Lương, Tiếp Vưu, Thang Lều","44 Hồ Dương, Tòng Thái, Ninh Ca","3758280354","305 Ngụy Khoa, Cổ Diệp, Đào Mầu/Màu","9286509065","bber1d@theglobeandmail.com","2731018005","9334836383",true,"2018-04-04","UET","Chính quy","Sinh viên","K06","QH2006-CLC1","Vật lý kỹ thuật","2006","2.1","",""
"20200005","Cái Dã","Hãn","Khác","1992-03-31","Việt Nam","Mường","Tin Lành","256 Đàm Lâm, Chúng Hề, Thào Quàng","139 Kim Bế, Mẫn Lăng, Lương Thất","1835950264","308 Ninh Thôi, Trưng Hà, Đoàn Hà","4141180551","jlynagh1z@google.com","9691389405","7472572368",true,"2015-11-21","UET","Chính quy","Sinh viên","K20","QH2020-CLC2","Kỹ thuật năng lượng","2020","1.9","",""
"20090003","Công Âu","Hưu","Nam","1991-03-09","Việt Nam","Thái","Tin Lành","249 Hi Thạch, Cổ Đống, Điều Từ","473 Mạc Bảo, Khiếu Bế, Cù Luyện","6123999680","267 Cống Lạc, Bồ Bành, Mai Thi","8813564950","bsandlin1b@xing.com","9201705155","9466714085",true,"2019-03-16","UET","Chính quy","Sinh viên","K09","QH2009-CLC1","Công nghệ nông nghiệp","2009","2.7","",""
"20160006","Phú Khuất","Hạn","Khác","2001-10-10","Việt Nam","Mường","Không có","352 Khu Đầu, Giáp Khà, Mạnh Quàng","125 Phương Cấn, Mang Tấn, Biện Ninh","5381207158","251 Ngụy Thái, Anh Chu/Châu, Vưu Ung","9686902094","rhaug23@vimeo.com","1823462044","6779782666",false,"","UET","Chính quy","Sinh viên đã tốt nghiệp","K16","CA2016-2","Kỹ thuật máy tính","2016","2.1","",""
"20160005","Biện Hề","Khang","Nữ","2004-06-07","Việt Nam","Mông","Không có","368 Chiêm Danh, Chế Đống, Tông Bàng","355 Dư Chúng, Trang Tòng, Khu H’","4766058100","330 Kha Thập, Liêu Điền, Nhâm Đăng","4238637237","pcrix20@xing.com","6408535336","7655255900",false,"","UET","Chính quy","Sinh viên","K16","CA2016-2","Kỹ thuật năng lượng","2016","2.5","",""
"20200004","Huỳnh Đăng","Lam","Nữ","2003-02-09","Việt Nam","Nùng","Không có","170 Đới Tòng, Lục Phan, Mẫn Dã","178 Cam Võ, Đới Lạc, Lưu Viên","2772741540","358 Ngũ Hạ, Hi Ánh, Đầu Thập","3437634171","ybeetham1m@apple.com","5455249022","2881847657",true,"2019-07-17","UET","Chính quy","Sinh viên","K20","CA2020-1","Hệ thống thông tin","2020","2.8","",""
"20130001","Bùi Thang","Liên","Nam","2001-02-01","Việt Nam","Thái","Không có","454 Triệu Ấu, Chế Linh, Phí Hùng","410 Anh Liên, Chiêm Võ, Trang Lại","7107796003","249 Lăng Ngọc, Đậu H’ma, Ngọ Kông","8405907544","bberingerc@sina.com.cn","8124596862","4402997844",true,"2021-01-27","UET","Chính quy","Thạc sĩ","K13","QH2013-CLC1","Mạng máy tính và truyền thông dữ liệu","2013","2.6","",""
"20180000","Lạc Mộc","Luyến","Nam","2003-07-14","Việt Nam","Kinh","Phật giáo","457 Ngũ Bì, Đới Sơn, Dã Phương","100 Nhữ Ưng, Ngọ Bì, Hồ Lyly","6449446277","102 Thân Bì, Chiêm Ngạc, Giao Tô","9289539471","bsawlel@creativecommons.org","1564781404","9782748630",true,"2019-10-21","UET","Chính quy","Sinh viên","K18","CA2018-CLC1","Kỹ thuật năng lượng","2018","2.6","",""
"20150005","Mục Thành","Luân","Khác","2002-03-06","Việt Nam","Tày","Không có","73 Khuất Thoa, Bình Ngụy, Lãnh La","45 Tôn Nông, Khai Thịnh, Bình Hàn","7023955631","457 Trưng An, Cát Tòng, Sái Khoa","4508023550","aliebmann1u@nsw.gov.au","1523667121","8785581311",true,"2019-11-24","UET","Chính quy","Sinh viên","K15","CA2015-2","Vật lý kỹ thuật","2015","2.3","",""
"20080001","Ứng Giang","Luật","Nữ","1996-05-26","Việt Nam","Mường","Không có","402 Lục Vưu, Đổng Quách, Ma Mạc","31 Giang Mầu/Màu, Khà Thang, Huỳnh Đoạn","1987549279","315 Tấn Tôn, Đăng Diệp, Doãn Đào","4165303938","rgoulborn10@youtu.be","9828044549","5112225736",true,"2018-01-25","UET","Chính quy","Sinh viên","K08","CA2008-CLC1","Công nghệ kỹ thuật xây dựng","2008","2.9","",""
"20160004","Duy Đới","Lâu","Nam","1991-12-07","Việt Nam","Mường","Tin Lành","121 Kông Ninh, Trương Nghiêm, Giáp Mạnh","500 Hoa Xung, Ninh Tuấn, La Thân","1921038543","41 Đới Mục, Vưu Hình, Mã Lều","2927388987","kowen1p@home.pl","8914037599","2821661836",true,"2021-05-09","UET","Chính quy","Sinh viên","K16","CA2016-CLC1","Khoa Học Máy Tính","2016","3","",""
"20070001","Hoa Bàng","Lư","Nữ","1994-04-20","Việt Nam","Nùng","Không có","157 Tông Khổng, Đèo Danh, Tống Lãnh","180 H’ Ngụy, Liên Bì, Thập Tôn","5661544170","301 Biện Đoàn, Kiều Trình, Cảnh Dương","9842290928","iadmans8@pcworld.com","1722448030","8186307128",false,"","UET","Chính quy","Sinh viên","K07","QH2007-2","Hệ thống thông tin","2007","2.5","",""
"20100001","Lã Lục","Lược","Nữ","1991-05-08","Việt Nam","Kinh","Không có","368 Chung Giả, Ngân Đặng, Ngọ Đầu","418 Khâu Mã, Phạm Cổ, Giao Vũ","1372190503","362 Tiêu Lỗ, Tô Giàng, Cao Danh","6078998573","mbowdend@washington.edu","3739333916","4814081240",false,"","UET","Chính quy","Sinh viên","K10","QH2010-CLC2","Công nghệ kỹ thuật xây dựng","2010","2.3","",""
"20130002","Đương Khà","Mão","Khác","1998-06-11","Việt Nam","Thái","Không có","71 Khoa Danh, Uông Đan, Thoa Trang","154 Lương Trang, Đào Tô, Lâm Trưng","7101605478","218 Sùng Cung, Trác Hướng, Hề Thất","9422749080","amccarverm@mac.com","7384160580","5637245356",true,"2018-04-20","UET","Chính quy","Sinh viên đã tốt nghiệp","K13","CA2013-CLC1","Công nghệ kỹ thuật xây dựng","2013","2.9","",""
"20090000","Lư Ca","Ngoạn","Khác","2001-11-14","Việt Nam","Tày","Tin Lành","260 Đồng Đàm, Kiểu Anh, Cáp Kiều","36 Mâu Kiều, Phương Vạn, Đặng Hoàng","6593098310","133 Ao Lạc, Viên Kiểu, Chu/Châu Xung","1041628378","anewbeginn@altervista.org","6318655138","4973311095",true,"2019-01-26","UET","Chính quy","Sinh viên","K09","QH2009-2","Công nghệ nông nghiệp","2009","2.4","",""
"20140002","Tán Khai","Nhi","Nam","1993-05-14","Việt Nam","Tày","Phật giáo","373 Tiêu Lò, Vũ Đăng, Lê La","303 Lyly Thất, Phú H’nia, Chriêng Hứa","0827808518","120 Đăng Tống, Lý Thất, Chương Vi","3606447590","mgalloway1h@prweb.com","8578211980","2671264988",false,"","UET","Chính quy","Sinh viên","K14","CA2014-2","Kỹ thuật điều khiển và tự động hóa","2014","2.3","",""
"20100000","Khâu Điêu","Nhiêu","Nam","1998-07-20","Việt Nam","Mông","Không có","436 Thang Lèng, Thành Phó, Sử Hoàng","441 Thang Thoa, Đới Tăng, Ninh Ngũ","9344547505","482 Thang Bàng, Đăng Đồng, Đoàn Nhan","8026268249","chaslum1@cmu.edu","9003232833","4901115624",false,"","UET","Chính quy","Sinh viên đã tốt nghiệp","K10","QH2010-CLC2","Công nghệ thông tin định hướng thị trường Nhật Bản","2010","2.3","",""
"20100006","Cáp Bảo","Nhiếp","Nữ","1994-09-18","Việt Nam","Kinh","Không có","214 Cổ Phù, Giả Kiểu, Mã Ngân","490 Tăng Phí, Thất Khu, Nguyễn Âu","1432883852","150 Phi Bạch, Bạc Kông, Đinh Vạn","3921105223","ggabbott1l@baidu.com","7999085968","6192016966",false,"","UET","Chính quy","Thạc sĩ","K10","CA2010-1","Công nghệ kỹ thuật cơ điện tử","2010","3","",""
"20100005","Võ Phan","Niệm","Khác","1996-06-23","Việt Nam","Kinh","Không có","336 Ứng Đỗ, Đào Cù, Cát Chúng","103 Công Đặng, Ngụy Mẫn, Ngô Lạc","7868446439","423 Hà Yên, Tinh Huỳnh, Khai Chriêng","7108457878","adicarli1c@paypal.com","8491319717","4885443112",true,"2016-11-01","UET","Chính quy","Sinh viên","K10","QH2010-1","Điện Tử Viễn Thông","2010","1.9","",""
"20150000","Sơn Lý","Nữ","Khác","1997-07-18","Việt Nam","Tày","Hồi giáo","271 Quàng Phan, Ung Lộ, Phù H’","402 Mâu Dương, Phùng Giao,   Tô","7822794957","89 Hề Ty, Hề Ma, Phương Liên","7969235209","galenichicov3@indiegogo.com","8155728740","3364040179",true,"2018-05-02","UET","Chính quy","Sinh viên","K15","CA2015-2","Kỹ thuật điều khiển và tự động hóa","2015","1.9","",""
"20170002","Ao Bình","Phi","Khác","2005-02-24","Việt Nam","Thái","Không có","490 Bá Luyện, Lư Yên, Thiều Ngụy","482 Khiếu Từ, Đinh Lô, Ngân Anh","8041712290","488 Khiếu Lại, Đồng Dương, Liễu Mầu/Màu","3995261346","xbetton1n@msu.edu","2397412963","7679529080",true,"2021-05-24","UET","Chính quy","Thạc sĩ","K17","CA2017-2","Công nghệ thông tin","2017","2.4","",""
"20150004","Lâm Cấn","Qua","Nam","1997-07-07","Việt Nam","Kinh","Không có","137 Văn Tô, Liễu Tiêu, Lăng Đào","258 Giao Diêm, Khai La, Mạc Ca","2444595831","306 Trương Xung, Sơn Tạ, Tề Bì","2359616783","bcordeix16@miitbeian.gov.cn","7278921999","4258214326",true,"2020-03-02","UET","Chính quy","Sinh viên","K15","CA2015-1","Công nghệ kỹ thuật cơ điện tử","2015","2.2","",""
"20070002","Đôn Kha","Quyết","Nam","2003-04-01","Việt Nam","Nùng","Không có","379 Hướng Khiếu, Hứa Khai, Văn Hùng","248 Tôn Hoàng, Hứa Ung, Lâm Tạ","3708309332","197 Tôn Cao, Diệp Bồ, Ứng Cung","6101054808","fdmtrovice@blogtalkradio.com","9244922034","8013785016",true,"2017-04-23","UET","Chính quy","Thạc sĩ","K07","QH2007-CLC2","Công nghệ nông nghiệp","2007","2.3","",""
"20170000","Bùi Đồ","Quỳnh","Nữ","2003-09-10","Mỹ","Mường","Thiên Chúa giáo","186 Đào Lăng, Trưng Biện, Khâu Trác","176 Bảo Đậu, Quách Hoàng, Doãn Hề","9183538747","270 Tấn Bàn, Khà Bì, Thôi Ngũ","4467852540","cmoyet@flavors.me","9821569996","6377176384",true,"2021-05-17","UET","Chính quy","Sinh viên đã tốt nghiệp","K17","QH2017-CLC1","Kỹ thuật máy tính","2017","2.4","",""
"20150002","Giả Dã","Sanh","Khác","2003-03-27","Việt Nam","Kinh","Không có","375 Chử Mẫn, Sử Sái, Giáp Cống","310 Viêm Cầm, Linh Khiếu,   Điêu","7621495405","199 Lèng Lý, Hoa Trác, Cự Đái","1349936008","ababinf@netlog.com","1583440741","6825313704",false,"","UET","Chính quy","Sinh viên","K15","QH2015-CLC2","Công nghệ kỹ thuật xây dựng","2015","2.2","",""
"20140004","Thái Ấu","Siêu","Khác","1998-01-14","Việt Nam","Kinh","Không có","175 Hoàng Cự, Thế Linh, Ấu Mang","475 Tống Bình, Khu Bàng, Ấu Ma","4741210480","431 Điền Hùng, Quách An, Lư Thào","1586211891","jkeogh1w@ca.gov","3301685116","8197998606",false,"","UET","Chính quy","Sinh viên đã tốt nghiệp","K14","QH2014-1","Mạng máy tính và truyền thông dữ liệu","2014","2.4","Thaehan",""
"20180003","Phi Phạm","Thinh","Nam","1994-04-13","Việt Nam","Mông","Phật giáo","7 Trương Thế, Sử Cai, Vũ Tăng","77 Đầu Vạn, Nhâm Phi, Ứng Cái","1025461258","351 Viên Bồ, Cồ Liêu, Nghị Viên","2359388589","sbloxland1y@jigsy.com","6454484894","5724053908",false,"","UET","Chính quy","Sinh viên","K18","CA2018-1","Hệ thống thông tin","2018","2.1","",""
"20130006","Tào Đống","Thước","Khác","1997-08-17","Việt Nam","Kinh","Hòa Hảo","126 Yên Hà, Cáp Lò, Bình Mai","91 Ứng Đặng, Tri Lyly, Quàng Võ","6508258907","418 Giả Cù, Diệp Hình, Trần Chử","2909128818","pstockman1x@prweb.com","4095352765","2888992671",false,"","UET","Chính quy","Sinh viên","K13","QH2013-CLC2","Điện Tử Viễn Thông","2013","2.2","",""
"20150003","Liễu Ninh","Thưởng","Khác","2000-05-30","Việt Nam","Kinh","Không có","95 Doãn Đoàn, Lư Thân, Quách Thành","379 Tòng Diệp, Đàm Sử, Cung Lư","2174471051","93 Doãn Lều, Khai Điêu, Ty Cung","7072669759","sbreeh@bluehost.com","8119619201","9663476313",false,"","UET","Chính quy","Sinh viên","K15","CA2015-1","Kỹ thuật máy tính","2015","1.9","",""
"20160000","Tòng H’","Thị","Nam","1991-07-01","Việt Nam","Mường","Không có","427 Đậu Phó, H’ Ninh, Lạc Mã","254 H’nia Cù, Liên Hà, Anh Ty","1466360186","166 Thiều Chu/Châu, Đan Cung, Đới Sái","8169997487","mrigate4@guardian.co.uk","3945299917","2681895035",true,"2017-11-24","UET","Chính quy","Sinh viên","K16","CA2016-CLC1","Khoa Học Máy Tính","2016","2.6","",""
"20060007","Bạc Mộc","Thức","Khác","2003-11-03","Mỹ","Tày","Không có","318 Đầu Bàn, Lý Ngô, Cai Nhâm","170 Lạc Hà, Bạch Lăng, Lộ Cống","0123563372","121 Chử Thạch, Liên Lưu, Hồng Bảo","7878049131","aidney24@de.vu","2028174284","6547309825",false,"","UET","Chính quy","Sinh viên","K06","CA2006-CLC2","Công nghệ kỹ thuật xây dựng","2006","2.6","",""
"20140001","Hùng Cống","Toa","Nữ","2002-08-21","Việt Nam","Kinh","Phật giáo","487 Lăng Phan, Phùng Nhâm, Hi Cấn","279 Hướng Thạch, Linh Mẫn, Cao Võ","8334223730","177 Vạn Ông, Mai Ứng, Mạnh Lâm","6731978023","ccorteng@constantcontact.com","9827527152","4247341512",true,"2021-10-18","UET","Chính quy","Sinh viên đã tốt nghiệp","K14","QH2014-CLC1","Công nghệ Hàng không vũ trụ","2014","2","",""
"20110005","Trương Trác","Trân","Nam","1993-05-20","Việt Nam","Kinh","Không có","295 Lô Sơn, Lý Tông, Thẩm Chung","107 H’ Tiếp, Cung Tạ, Thập Lô","2394846712","355 Hùng Thế, Bạch Phan, Diệp Lục","7505510366","ppetticrow21@jimdo.com","9778500477","5219272603",false,"","UET","Chính quy","Sinh viên","K11","CA2011-CLC2","Mạng máy tính và truyền thông dữ liệu","2011","2.4","",""
"20070000","Cảnh Tiếp","Trưởng","Nam","1995-08-12","Việt Nam","Kinh","Không có","244 Yên Chriêng, Linh Chử, Phương Thoa","383 Chế Đặng, Cái Ma, Viêm Bạch","1218334606","385 Thân Đương, Uông Trà, Trang An","7811847847","tcunnell6@irs.gov","3748562432","9401600437",false,"","UET","Chính quy","Thạc sĩ","K07","CA2007-CLC2","Công nghệ thông tin","2007","2","",""
"20090005","Kha Cầm","Tuyển","Nữ","1999-06-19","Việt Nam","Tày","Không có","386 Ngô Hùng, Đương Mạch, Cù  ","484 Bế Lương, Cầm Hạ, Ông Đoàn","6824625078","58 Ma Phan, Ông Viêm, Vi Lộ","4825512422","scoltart1r@amazon.com","8145355303","8349270187",false,"","UET","Chính quy","Sinh viên","K09","QH2009-CLC2","Công nghệ thông tin định hướng thị trường Nhật Bản","2009","2.8","",""
"20160002","Lại Ấu","Tuấn","Nam","1997-05-01","Việt Nam","Kinh","Không có","196 Kim La, Lý Trình, Đoạn Đới","372 Cống Chung, Vũ Ngô, Tống Ung","8569090722","346 Đương Khiếu, Giả Võ, Huỳnh Lưu","3182602944","nseabon11@parallels.com","6652490645","3325092085",false,"","UET","Chính quy","Sinh viên","K16","CA2016-1","Công nghệ thông tin","2016","1.9","",""
"20120001","Hứa Đặng","Ty","Khác","1995-08-22","Việt Nam","Tày","Không có","458 Kiều Phí, Ong Tòng, Mộc Mầu/Màu","449 Vưu H’, Cái Anh, Dương Khai","6173710080","382 Trịnh Cát, Viêm Nghị, Ứng H’","3245763840","psharphurstz@ucsd.edu","7743360707","8482584064",true,"2018-07-15","UET","Chính quy","Sinh viên","K12","CA2012-CLC2","Vật lý kỹ thuật","2012","2.6","",""
"20150006","Kha Mộc","Tám","Nữ","1998-06-08","Việt Nam","Mông","Hòa Hảo","177 Hùng Trần, Liên Thành, Thân Lê","59 Tuấn Nhâm, Hạ Khúc, Cầm Cồ","6539205260","127 Thập Đào, Ưng Chiêm, Đường Tăng","1042840543","mgoss22@trellian.com","8919307348","1687574630",true,"2021-07-25","UET","Chính quy","Sinh viên","K15","QH2015-1","Công nghệ thông tin định hướng thị trường Nhật Bản","2015","2","",""
"20060001","Trình Anh","Tô","Khác","2005-01-13","Việt Nam","Mường","Phật giáo","79 Liễu Giang, Bạc Cao, Văn Hán","197 Mã Thịnh, Tào Chúng, Đồng Doãn","1459249577","117 Trương Vạn, Cái Giáp, Liêu Khai","6765771965","htregian17@wisc.edu","5468688125","2764157021",true,"2021-04-14","UET","Chính quy","Sinh viên đã tốt nghiệp","K06","QH2006-CLC2","Hệ thống thông tin","2006","2.3","",""
"20190000","Hàn H’nia","Tú","Nam","1997-09-02","Việt Nam","Mông","Không có","198 Dương Thôi, Đương Mâu, Sái Cự","133 Trác Bạch, Ao Lục, Nhâm Từ","4087280446","66 Trưng Tuấn, Vạn Cồ, Lạc Nhâm","2766717203","barger7@mysql.com","7242423032","7987380561",false,"","UET","Chính quy","Sinh viên","K19","CA2019-2","Hệ thống thông tin","2019","2.3","",""
"20060002","Đàm Thế","Tổ","Khác","1996-01-25","Việt Nam","Mường","Không có","194 Đới Tòng, Khai Từ, Phạm Thế","5 Thất Mai, Đái H’ma, Lã Dư","6228183486","210 Chiêm Đèo, Vạn Khuất, Lyly Mục","6909356756","fthorogood1a@usatoday.com","5155717674","7667190781",true,"2019-12-05","UET","Chính quy","Thạc sĩ","K06","QH2006-CLC1","Kỹ thuật năng lượng","2006","2","",""
"20140005","Hạnh","Vi","Nam","1993-07-25","Việt Nam","Mường","Anh ","391 Ứng Lý, Phan Tăng, Lều Xung","58 Cung Sái, Đỗ Trương, Nhữ Triệu","5875385332","220 H’nia Lò, Bảo Chu/Châu, Văn Đào","84981642001","corgidaihoc@gmail.com","84981642001","84981642001",true,,"UET","Chính quy","Sinh Viên","K14","QH2014-2","Cơ kỹ thuật","2014","","",""
"20160001","Bành Duy","Vị","Khác","1999-08-04","Việt Nam","Kinh","Không có","435 Đàm Luyện, Ngân Ca, Đèo Kiều","115 Khương Phan, Đậu Đường, Sái Bảo","9510823937","111 Yên Võ, Thục Ông, Bình Ứng","6766780978","teldredo@sogou.com","7596320439","8796914677",true,"2021-01-26","UET","Chính quy","Sinh viên đã tốt nghiệp","K16","QH2016-CLC1","Công nghệ Hàng không vũ trụ","2016","2.3","",""
"20190002","Ông Lò","Vỹ","Khác","2000-09-15","Việt Nam","Kinh","Không có","173 Thập Liên, Đỗ Tống, La Bàng","436 Đèo Vũ, Đinh Âu, Mục Khúc","9056665863","209 Mùa Mạnh, Tán Diệp, Cát Đèo","2062943338","mbarkwayy@360.cn","7629992594","5781505844",true,"2021-06-13","UET","Chính quy","Sinh viên","K19","QH2019-CLC1","Khoa Học Máy Tính","2019","2.6","",""
"20130004","Ty Thập","Yên","Khác","2000-10-24","Việt Nam","Kinh","Không có","473 Ngô H’ma, Thục Khoa, Bạc Trương","173 Mai Khai, Vi Công, Vạn Mã","1164413740","275 Ưng Quản, Thịnh Hạ, Hàn Lều","2791081974","bchapelhows@senate.gov","8999602217","5478220093",false,"","UET","Chính quy","Thạc sĩ","K13","CA2013-1","Công nghệ kỹ thuật cơ điện tử","2013","2.7","",""
